Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
01/03/2020 9:20:29 AM,Fruit smoothies,0.95,oz,Like it!
01/03/2020 7:15:30 PM,Oatmeal,2.9,oz,Like it!
01/02/2020 3:30:16 PM,Yogurt,2.0,oz,Like it!
01/02/2020 9:50:46 AM,Fruit smoothies,2.3,oz,Like it!
01/02/2020 3:40:49 PM,Oatmeal,2.5,oz,Like it!
01/02/2020 8:45:22 AM,Oatmeal,2.5,oz,Like it!
01/02/2020 12:25:17 PM,Oatmeal,1.2,oz,Like it!
01/02/2020 12:40:33 PM,Fruit smoothies,3.7,oz,Like it!
01/02/2020 5:35:44 PM,Fruit smoothies,3.0,oz,Like it!
01/02/2020 3:05:04 PM,Nuts,0.2,oz,Like it!
01/02/2020 9:40:33 AM,Oatmeal,2.5,oz,Like it!
01/01/2020 8:54:56 AM,Fruit smoothies,3.8,oz,Like it!
01/01/2020 6:12:44 PM,Fruit smoothies,3.7,oz,Like it!
01/01/2020 7:52:26 PM,Fruit smoothies,3.4,oz,Like it!
01/01/2020 10:58:11 AM,Yogurt,3.0,oz,Like it!
01/01/2020 8:45:55 AM,Oatmeal,3.1,oz,Like it!
01/01/2020 3:16:33 PM,Oatmeal,3.0,oz,Like it!
01/01/2020 12:37:59 PM,Fruit smoothies,3.7,oz,Like it!
12/31/2019 7:38:09 AM,Fruit smoothies,1.1,oz,Like it!
12/31/2019 6:40:11 PM,Fruit smoothies,3.7,oz,Like it!
12/31/2019 7:53:52 PM,Fruit smoothies,3.5,oz,Like it!
12/31/2019 12:25:53 PM,Oatmeal,2.6,oz,Like it!
12/31/2019 9:15:09 AM,Oatmeal,2.6,oz,Love it!
12/31/2019 4:15:36 PM,Yogurt,2.2,oz,Like it!
12/31/2019 9:20:38 AM,Fruit smoothies,1.6,oz,Like it!
12/31/2019 12:34:46 PM,Fruit smoothies,2.05,oz,Like it!
12/31/2019 4:11:15 PM,Fruit smoothies,3.0,oz,Hate it!
12/30/2019 4:05:56 PM,Yogurt,2.8,oz,Like it!
12/30/2019 11:58:58 AM,Fruit smoothies,1.6,oz,Like it!
12/30/2019 7:56:50 PM,Fruit smoothies,1.3,oz,Like it!
12/30/2019 9:25:01 AM,Oatmeal,2.9,oz,Like it!
12/30/2019 4:22:33 PM,Fruit smoothies,1.6,oz,Like it!
12/30/2019 12:40:41 PM,Oatmeal,2.5,oz,Like it!
12/30/2019 9:36:12 AM,Fruit smoothies,2.0,oz,Like it!
12/30/2019 7:50:58 AM,Fruit smoothies,1.1,oz,Like it!
12/30/2019 6:00:20 PM,Fruit smoothies,3.5,oz,Like it!
12/29/2019 3:30:55 PM,Oatmeal,2.5,oz,Like it!
12/29/2019 12:20:07 PM,Yogurt,2.3,oz,Like it!
12/29/2019 8:50:08 AM,Oatmeal,0.8,oz,Like it!
12/29/2019 9:05:22 AM,Fruit smoothies,1.4,oz,Like it!
12/29/2019 9:30:34 AM,Fruit smoothies,1.75,oz,Like it!
12/29/2019 7:48:35 PM,Fruit smoothies,1.7,oz,Like it!
12/29/2019 3:43:55 PM,Fruit smoothies,2.15,oz,Like it!
12/29/2019 10:50:04 AM,Fruit smoothies,0.6,oz,Like it!
12/29/2019 12:32:48 PM,Fruit smoothies,0.8,oz,Like it!
12/29/2019 10:45:18 AM,Oatmeal,1.9,oz,Like it!
12/29/2019 5:30:36 PM,Fruit smoothies,3.75,oz,Like it!
12/28/2019 7:54:00 PM,Fruit smoothies,3.1,oz,Like it!
12/28/2019 9:15:20 AM,Fruit smoothies,3.1,oz,Like it!
12/28/2019 11:46:56 AM,Yogurt,3.0,oz,Like it!
12/28/2019 6:01:28 PM,Fruit smoothies,1.55,oz,Like it!
12/28/2019 8:55:44 AM,Oatmeal,2.7,oz,Like it!
