Begin time,End time
12/10/2019 8:00:00 PM,12/10/2019 8:01:00 PM
12/10/2019 1:15:00 PM,12/10/2019 3:00:00 PM
12/10/2019 8:03:00 PM,12/11/2019 5:23:00 AM
12/09/2019 9:44:00 PM,12/09/2019 10:12:00 PM
12/09/2019 1:00:00 PM,12/09/2019 3:00:00 PM
12/09/2019 9:31:00 PM,12/09/2019 9:42:00 PM
12/09/2019 10:30:00 PM,12/10/2019 1:33:00 AM
12/09/2019 10:14:00 PM,12/09/2019 10:25:00 PM
12/09/2019 7:57:00 PM,12/09/2019 7:58:00 PM
12/09/2019 8:01:00 PM,12/09/2019 9:30:00 PM
12/08/2019 8:00:00 PM,12/08/2019 8:01:00 PM
12/08/2019 8:03:00 PM,12/08/2019 10:00:00 PM
12/08/2019 1:06:00 PM,12/08/2019 3:09:00 PM
12/08/2019 10:04:00 PM,12/09/2019 7:01:00 AM
12/08/2019 3:11:00 PM,12/08/2019 3:25:00 PM
12/08/2019 1:04:00 PM,12/08/2019 1:05:00 PM
12/07/2019 8:03:00 PM,12/07/2019 8:04:00 PM
12/07/2019 7:05:00 AM,12/07/2019 7:42:00 AM
12/07/2019 1:06:00 PM,12/07/2019 3:29:00 PM
12/07/2019 8:09:00 PM,12/08/2019 7:03:00 AM
12/07/2019 1:01:00 PM,12/07/2019 1:02:00 PM
12/06/2019 2:03:00 PM,12/06/2019 2:54:00 PM
12/06/2019 5:37:00 AM,12/06/2019 6:39:00 AM
12/06/2019 12:41:00 PM,12/06/2019 12:42:00 PM
12/06/2019 8:17:00 PM,12/06/2019 8:23:00 PM
12/06/2019 12:44:00 PM,12/06/2019 2:03:00 PM
12/06/2019 12:11:00 AM,12/06/2019 5:24:00 AM
12/06/2019 8:26:00 PM,12/07/2019 7:03:00 AM
12/06/2019 8:04:00 PM,12/06/2019 8:05:00 PM
12/06/2019 5:24:00 AM,12/06/2019 5:36:00 AM
12/05/2019 6:21:00 AM,12/05/2019 6:34:00 AM
12/05/2019 8:12:00 PM,12/05/2019 9:33:00 PM
12/05/2019 8:04:00 PM,12/05/2019 8:05:00 PM
12/05/2019 9:35:00 PM,12/06/2019 12:09:00 AM
12/05/2019 1:00:00 PM,12/05/2019 2:40:00 PM
12/04/2019 1:00:00 PM,12/04/2019 3:05:00 PM
12/04/2019 8:07:00 PM,12/04/2019 10:23:00 PM
12/04/2019 6:35:00 AM,12/04/2019 6:42:00 AM
12/04/2019 7:58:00 PM,12/04/2019 7:59:00 PM
12/04/2019 10:39:00 PM,12/05/2019 6:18:00 AM
12/03/2019 8:08:00 PM,12/04/2019 6:26:00 AM
12/03/2019 1:00:00 PM,12/03/2019 2:45:00 PM
12/03/2019 8:04:00 PM,12/03/2019 8:05:00 PM
12/02/2019 6:13:00 AM,12/02/2019 6:21:00 AM
12/02/2019 8:01:00 PM,12/02/2019 8:02:00 PM
12/02/2019 8:07:00 PM,12/02/2019 10:09:00 PM
12/02/2019 6:22:00 AM,12/02/2019 6:37:00 AM
12/02/2019 6:40:00 AM,12/02/2019 7:02:00 AM
12/02/2019 1:00:00 PM,12/02/2019 3:15:00 PM
12/02/2019 10:10:00 PM,12/03/2019 7:19:00 AM
12/01/2019 1:04:00 PM,12/01/2019 1:05:00 PM
12/01/2019 5:57:00 AM,12/01/2019 7:33:00 AM
12/01/2019 9:00:00 PM,12/02/2019 6:05:00 AM
12/01/2019 8:20:00 PM,12/01/2019 8:21:00 PM
12/01/2019 1:10:00 PM,12/01/2019 3:30:00 PM
12/01/2019 8:12:00 PM,12/01/2019 8:13:00 PM
12/01/2019 8:22:00 PM,12/01/2019 8:58:00 PM
11/30/2019 8:09:00 PM,12/01/2019 5:55:00 AM
11/30/2019 1:00:00 PM,11/30/2019 3:29:00 PM
11/30/2019 7:04:00 AM,11/30/2019 7:30:00 AM
11/30/2019 8:06:00 PM,11/30/2019 8:07:00 PM
11/30/2019 12:57:00 PM,11/30/2019 12:58:00 PM
11/29/2019 1:09:00 PM,11/29/2019 2:21:00 PM
11/29/2019 2:22:00 PM,11/29/2019 3:47:00 PM
11/29/2019 5:18:00 AM,11/29/2019 6:18:00 AM
11/29/2019 1:01:00 PM,11/29/2019 1:02:00 PM
11/29/2019 6:19:00 AM,11/29/2019 7:22:00 AM
11/29/2019 10:39:00 AM,11/29/2019 10:49:00 AM
11/29/2019 8:12:00 PM,11/30/2019 7:00:00 AM
11/29/2019 8:01:00 PM,11/29/2019 8:02:00 PM
11/28/2019 8:04:00 PM,11/29/2019 5:17:00 AM
