Diaper time,In the diaper,Color,Texture
01/22/2023 6:52:42 PM,pee,,
01/22/2023 3:57:58 PM,poo,green,Mushy
01/22/2023 3:00:00 PM,pee,,
01/22/2023 10:44:00 AM,poo,green,Mushy
01/22/2023 8:32:12 AM,pee,,
01/22/2023 6:02:00 AM,pee,,
01/21/2023 7:42:00 PM,pee,,
01/21/2023 2:57:00 PM,pee,,
01/21/2023 10:30:00 AM,poo,yellow,Mushy
01/21/2023 11:59:12 AM,pee,,
01/21/2023 9:06:00 AM,pee,,
01/21/2023 4:47:00 AM,pee,,
01/20/2023 7:36:00 PM,pee,,
01/20/2023 4:56:00 PM,pee and poo,green,Solid
01/20/2023 4:32:00 PM,pee,,
01/20/2023 2:40:00 PM,pee,,
01/20/2023 11:11:00 AM,pee,,
01/20/2023 9:15:00 AM,pee and poo,green,Solid
01/20/2023 7:10:00 AM,pee,,
01/20/2023 2:53:00 AM,pee,,
01/19/2023 7:22:00 PM,pee and poo,green,Solid
01/19/2023 4:18:00 PM,pee,,
01/19/2023 2:39:00 PM,pee,,
01/19/2023 10:46:00 AM,pee,,
01/19/2023 9:17:00 AM,pee,,
01/19/2023 7:09:00 AM,pee,,
01/19/2023 4:31:00 AM,pee,,
01/18/2023 7:41:00 PM,pee,,
01/18/2023 6:01:00 PM,pee,,
01/18/2023 4:23:00 PM,pee,,
01/18/2023 2:32:00 PM,pee,,
01/18/2023 11:04:00 AM,pee,,
01/18/2023 8:25:00 AM,pee and poo,green,Solid
01/18/2023 7:20:00 AM,pee,,
01/18/2023 4:42:00 AM,pee,,
01/17/2023 11:33:00 PM,pee,,
01/17/2023 6:17:00 PM,pee,,
01/17/2023 4:40:00 PM,pee,,
01/17/2023 2:44:00 PM,pee,,
01/17/2023 12:19:00 PM,pee and poo,green,Solid
01/17/2023 11:20:00 AM,pee,,
01/17/2023 9:09:00 AM,pee,,
01/17/2023 7:18:00 AM,pee,,
01/17/2023 3:26:00 AM,pee,,
01/16/2023 7:47:00 PM,pee,,
01/16/2023 3:47:00 PM,pee,,
01/16/2023 11:49:00 AM,pee and poo,green,Solid
01/16/2023 8:02:00 AM,pee,,
01/16/2023 2:33:00 AM,pee,,
01/15/2023 10:04:08 AM,poo,yellow,Solid
01/15/2023 7:36:07 PM,pee,,
01/15/2023 4:09:00 PM,pee and poo,yellow,Solid
01/15/2023 2:53:46 PM,pee,,
01/15/2023 8:52:00 AM,pee,,
01/15/2023 1:29:00 AM,pee,,
01/14/2023 7:48:07 PM,pee,,
01/14/2023 4:08:00 PM,pee and poo,green,Solid
01/14/2023 12:30:00 PM,pee,,
01/14/2023 8:29:00 AM,pee,,
01/14/2023 2:15:00 AM,pee,,
01/13/2023 6:01:00 PM,pee,,
01/13/2023 4:41:00 PM,pee and poo,green,Solid
01/13/2023 4:28:00 PM,pee,,
01/13/2023 1:11:00 PM,pee,,
01/13/2023 10:44:00 AM,pee,,
01/13/2023 8:27:00 AM,pee,,
01/13/2023 7:24:00 AM,pee,,
01/13/2023 3:39:00 AM,pee,,
01/12/2023 7:20:00 PM,pee and poo,yellow,Solid
01/12/2023 5:10:00 PM,pee,,
01/12/2023 3:25:00 PM,pee and poo,green,Solid
01/12/2023 2:37:00 PM,pee,,
01/12/2023 11:15:00 AM,pee,,
01/12/2023 9:04:00 AM,pee,,
01/12/2023 7:07:00 AM,pee,,
01/11/2023 7:45:00 PM,pee,,
01/11/2023 5:23:00 PM,pee,,
01/11/2023 2:57:00 PM,pee,,
01/11/2023 12:17:00 PM,pee and poo,green,Solid
01/11/2023 11:37:00 AM,pee,,
01/11/2023 9:38:00 AM,pee,,
01/11/2023 7:20:00 AM,pee,,
01/11/2023 7:08:00 AM,pee,,
01/11/2023 1:00:00 AM,pee,,
