Time of feeding,Milk type,Amount(ml),Amount(oz)
12/14/2019 12:50:29 PM,Breast milk,80.0,2.7051
12/14/2019 10:40:41 AM,Breast milk,65.0,2.1979
12/14/2019 7:21:42 AM,Breast milk,80.0,2.7051
12/13/2019 7:50:46 PM,Breast milk,70.0,2.367
12/13/2019 7:12:16 PM,Breast milk,80.0,2.7051
12/13/2019 4:37:21 PM,Breast milk,90.0,3.0433
12/13/2019 12:50:43 PM,Formula,100.0,3.3814
12/13/2019 10:05:26 AM,Breast milk,50.0,1.6907
12/13/2019 8:46:37 AM,Formula,30.0,1.0144
12/13/2019 7:10:14 AM,Breast milk,60.0,2.0288
12/12/2019 7:44:09 PM,Breast milk,150.0,5.0721
12/12/2019 5:00:05 PM,Breast milk,50.0,1.6907
12/12/2019 3:40:18 PM,Breast milk,60.0,2.0288
12/12/2019 12:15:36 PM,Breast milk,60.0,2.0288
12/12/2019 9:50:14 AM,Breast milk,60.0,2.0288
12/12/2019 7:11:29 AM,Breast milk,70.0,2.367
12/11/2019 7:45:06 PM,Breast milk,90.0,3.0433
12/11/2019 4:35:19 PM,Breast milk,140.0,4.734
12/11/2019 12:15:55 PM,Breast milk,60.0,2.0288
12/11/2019 9:50:23 AM,Breast milk,60.0,2.0288
12/11/2019 7:32:27 AM,Breast milk,145.0,4.903
12/10/2019 7:46:10 PM,Breast milk,135.0,4.5649
12/10/2019 5:00:58 PM,Breast milk,135.0,4.5649
12/10/2019 12:10:31 PM,Breast milk,60.0,2.0288
12/10/2019 9:40:40 AM,Breast milk,60.0,2.0288
12/10/2019 7:36:19 AM,Breast milk,120.0,4.0577
12/09/2019 7:44:15 PM,Breast milk,90.0,3.0433
12/09/2019 5:55:29 PM,Breast milk,60.0,2.0288
12/09/2019 5:02:41 PM,Breast milk,100.0,3.3814
12/09/2019 3:20:50 PM,Breast milk,75.0,2.536
12/09/2019 12:30:01 PM,Breast milk,90.0,3.0433
12/09/2019 7:10:06 AM,Breast milk,100.0,3.3814
12/08/2019 7:38:51 PM,Breast milk,165.0,5.5793
12/08/2019 4:42:34 PM,Breast milk,75.0,2.536
12/08/2019 12:50:29 PM,Breast milk,90.0,3.0433
12/08/2019 9:50:35 AM,Formula,90.0,3.0433
12/08/2019 7:15:32 AM,Breast milk,120.0,4.0577
12/07/2019 7:48:28 PM,Breast milk,125.0,4.2268
12/07/2019 5:00:14 PM,Breast milk,90.0,3.0433
